Category,Scale,Database Entity,Ontology Label,Source File,Entry Type,FieldName,Testname,Type,Data Type,Flip Axis,Ordinal Sort
Cognitive,Hopkins Verbal Learning Test,observation_ontology,HVLT- Retention,ppmi_obs_long.csv,Observation,Testname,HVLT-R,Decimal,Continuous,1,
Sleep,Epworth Sleepiness Scale,observation_ontology,ESS Score,ppmi_obs_long.csv,Observation,Testname,ESS Score,Decimal,Continuous,0,
Sleep,Epworth Sleepiness Scale,observation_ontology,ESS State,ppmi_obs_long.csv,Observation,Testname,ESS State,Char,Categorical,,
Disability,,observation_ontology,Modified Schwab & England ADL,ppmi_obs_long.csv,Observation,Testname,SE ADL Scale,Decimal,Continuous,1,
Autonomic,,observation_ontology,SCOPA-AUT,ppmi_obs_long.csv,Observation,Testname,SCOPA-AUT,Decimal,Continuous,0,
Cognitive,,observation_ontology,Symbol Digit Modalities,ppmi_obs_long.csv,Observation,Testname,SDM,Decimal,Continuous,1,
Mental Health,,observation_ontology,State Trait Anxiety,ppmi_obs_long.csv,Observation,Testname,STAI,Decimal,Continuous,1,
Mental Health,Geriatric Depression Scale,observation_ontology,Geriatric Depression Scale Score,ppmi_obs_long.csv,Observation,Testname,GDS Score,Decimal,Continuous,0,
Mental Health,Geriatric Depression Scale,observation_ontology,Geriatric Depression Scale State,ppmi_obs_long.csv,Observation,Testname,GDS State,Char,Categorical,,
Sleep,REM Sleep Behavior Disorder Questionnaire,observation_ontology,REM Sleep Behavior Disorder Questionnaire Score,ppmi_obs_long.csv,Observation,Testname,RBDQ Score,Decimal,Continuous,0,
Sleep,REM Sleep Behavior Disorder Questionnaire,observation_ontology,REM Sleep Behavior Disorder Questionnaire State,ppmi_obs_long.csv,Observation,Testname,RBDQ State,Char,Categorical,,
Genetic,Genotype,observation_ontology,ApoE Genotype,ppmi_obs_long.csv,Observation,Testname,ApoE Genotype,Char,Categorical,,
Genetic,Genotype,observation_ontology,SNCA-rs356181,ppmi_obs_long.csv,Observation,Testname,SNCA-rs356181,Char,Categorical,,
Genetic,Genotype,observation_ontology,SNCA-rs3910105,ppmi_obs_long.csv,Observation,Testname,SNCA-rs3910105,Char,Categorical,,
Laboratory,Cerebrospinal fluid,observation_ontology,CSF-Abeta-42,ppmi_obs_long.csv,Observation,Testname,CSF-Abeta-42,Decimal,Continuous,,
Laboratory,Cerebrospinal fluid,observation_ontology,CSF-Hemoglobin,ppmi_obs_long.csv,Observation,Testname,CSF-Hemoglobin,Decimal,Continuous,,
Cognitive,Semantic Fluency,observation_summary,Semantic Fluency-Change,ppmi_obs_summary.csv,Summary,Change,SF-Change,Decimal,Continuous,1,
Cognitive,Benton Judgment of Line,observation_summary,Benton Judgment of Line Orientation-Change,ppmi_obs_summary.csv,Summary,Change,Benton JOLO-Change,Decimal,Continuous,1,
General Disease Severity,MDS-UPDRS,observation_summary,MDS-UPDRS Part I-Change,ppmi_obs_summary.csv,Summary,Change,MDS-UPDRS I-Change,Decimal,Continuous,0,
General Disease Severity,MDS-UPDRS,observation_summary,MDS-UPDRS Part II-Change,ppmi_obs_summary.csv,Summary,Change,MDS-UPDRS II-Change,Decimal,Continuous,0,
General Disease Severity,MDS-UPDRS,observation_summary,MDS-UPDRS Part III-Change,ppmi_obs_summary.csv,Summary,Change,MDS-UPDRS III-Change,Decimal,Continuous,0,
General Disease Severity,MDS-UPDRS,observation_summary,MDS-UPDRS Total (Part I-III)-Change,ppmi_obs_summary.csv,Summary,Change,MDS-UPDRS Total-Change,Decimal,Continuous,0,
Cognitive,Montreal Cognitive Assessment,observation_summary,Montreal Cognitive Assessment-Change,ppmi_obs_summary.csv,Summary,Change,MoCA-Change,Decimal,Continuous,1,
Cognitive,Letter-Number Sequencing,observation_summary,Letter-Number Sequencing-Change,ppmi_obs_summary.csv,Summary,Change,LNS-Change,Decimal,Continuous,1,
Cognitive,Hopkins Verbal Learning Test,observation_summary,HVLT-Total Recall-Change,ppmi_obs_summary.csv,Summary,Change,HVLT-TR-Change,Decimal,Continuous,1,
Cognitive,Hopkins Verbal Learning Test,observation_summary,HVLT-Delayed Recall-Change,ppmi_obs_summary.csv,Summary,Change,HVLT-DR-Change,Decimal,Continuous,1,
Cognitive,Hopkins Verbal Learning Test,observation_summary,HVLT- Retention-Change,ppmi_obs_summary.csv,Summary,Change,HVLT-R-Change,Decimal,Continuous,1,
Sleep,Epworth Sleepiness Scale,observation_summary,ESS Score-Change,ppmi_obs_summary.csv,Summary,Change,ESS Score-Change,Decimal,Continuous,0,
Disability,Modified Schwab & England ADL,observation_summary,Modified Schwab & England ADL-Change,ppmi_obs_summary.csv,Summary,Change,SE ADL Scale-Change,Decimal,Continuous,1,
Autonomic,SCOPA-AUT,observation_summary,SCOPA-AUT-Change,ppmi_obs_summary.csv,Summary,Change,SCOPA-AUT-Change,Decimal,Continuous,0,
Cognitive,Symbol Digit Modalities,observation_summary,Symbol Digit Modalities-Change,ppmi_obs_summary.csv,Summary,Change,SDM-Change,Decimal,Continuous,1,
Mental Health,State Trait Anxiety,observation_summary,State Trait Anxiety-Change,ppmi_obs_summary.csv,Summary,Change,STAI-Change,Decimal,Continuous,1,
Mental Health,Geriatric Depression Scale,observation_summary,Geriatric Depression Scale Score-Change,ppmi_obs_summary.csv,Summary,Change,GDS Score-Change,Decimal,Continuous,0,
Sleep,REM Sleep Behavior Disorder Questionnaire,observation_summary,REM Sleep Behavior Disorder Questionnaire Score-Change,ppmi_obs_summary.csv,Summary,Change,RBDQ Score-Change,Decimal,Continuous,0,
Cognitive,Semantic Fluency,observation_summary,Semantic Fluency-ROC,ppmi_obs_summary.csv,Summary,ROC,SF-ROC,Decimal,Continuous,1,
Cognitive,Benton Judgment of Line,observation_summary,Benton Judgment of Line Orientation-ROC,ppmi_obs_summary.csv,Summary,ROC,Benton JOLO-ROC,Decimal,Continuous,1,
General Disease Severity,MDS-UPDRS,observation_summary,MDS-UPDRS Part I-ROC,ppmi_obs_summary.csv,Summary,ROC,MDS-UPDRS I-ROC,Decimal,Continuous,0,
General Disease Severity,MDS-UPDRS,observation_summary,MDS-UPDRS Part II-ROC,ppmi_obs_summary.csv,Summary,ROC,MDS-UPDRS II-ROC,Decimal,Continuous,0,
General Disease Severity,MDS-UPDRS,observation_summary,MDS-UPDRS Part III-ROC,ppmi_obs_summary.csv,Summary,ROC,MDS-UPDRS III-ROC,Decimal,Continuous,0,
General Disease Severity,MDS-UPDRS,observation_summary,MDS-UPDRS Total (Part I-III)-ROC,ppmi_obs_summary.csv,Summary,ROC,MDS-UPDRS Total-ROC,Decimal,Continuous,0,
Cognitive,Montreal Cognitive Assessment,observation_summary,Montreal Cognitive Assessment-ROC,ppmi_obs_summary.csv,Summary,ROC,MoCA-ROC,Decimal,Continuous,1,
Cognitive,Letter-Number Sequencing,observation_summary,Letter-Number Sequencing-ROC,ppmi_obs_summary.csv,Summary,ROC,LNS-ROC,Decimal,Continuous,1,
Cognitive,Hopkins Verbal Learning Test,observation_summary,HVLT-Total Recall-ROC,ppmi_obs_summary.csv,Summary,ROC,HVLT-TR-ROC,Decimal,Continuous,1,
Cognitive,Hopkins Verbal Learning Test,observation_summary,HVLT-Delayed Recall-ROC,ppmi_obs_summary.csv,Summary,ROC,HVLT-DR-ROC,Decimal,Continuous,1,
Cognitive,Hopkins Verbal Learning Test,observation_summary,HVLT- Retention-ROC,ppmi_obs_summary.csv,Summary,ROC,HVLT-R-ROC,Decimal,Continuous,1,
Sleep,Epworth Sleepiness Scale,observation_summary,ESS Score-ROC,ppmi_obs_summary.csv,Summary,ROC,ESS Score-ROC,Decimal,Continuous,0,
Disability,Modified Schwab & England ADL,observation_summary,Modified Schwab & England ADL-ROC,ppmi_obs_summary.csv,Summary,ROC,SE ADL Scale-ROC,Decimal,Continuous,1,
Autonomic,SCOPA-AUT,observation_summary,SCOPA-AUT-ROC,ppmi_obs_summary.csv,Summary,ROC,SCOPA-AUT-ROC,Decimal,Continuous,0,
Cognitive,Symbol Digit Modalities,observation_summary,Symbol Digit Modalities-ROC,ppmi_obs_summary.csv,Summary,ROC,SDM-ROC,Decimal,Continuous,1,
Mental Health,State Trait Anxiety,observation_summary,State Trait Anxiety-ROC,ppmi_obs_summary.csv,Summary,ROC,STAI-ROC,Decimal,Continuous,1,
Mental Health,Geriatric Depression Scale,observation_summary,Geriatric Depression Scale Score-ROC,ppmi_obs_summary.csv,Summary,ROC,GDS Score-ROC,Decimal,Continuous,0,
Sleep,REM Sleep Behavior Disorder Questionnaire,observation_summary,REM Sleep Behavior Disorder Questionnaire Score-ROC,ppmi_obs_summary.csv,Summary,ROC,RBDQ Score-ROC,Decimal,Continuous,0,
